"Q-kode","churchLabel","latitude","longitude","kommune","stift","sogn","wikilink","opført","opført_tal"
"Q12339347","Tibirke Kirke",56.04163,12.10665,"Gribskov Kommune","Helsingør Stift","Tibirke Sogn","https://da.wikipedia.org/wiki/Tibirke_Kirke","1120-30",1120
"Q12339405","Timring Kirke",56.17607,8.74486,"Herning Kommune","Viborg Stift","Timring-Tiphede Sogn","https://da.wikipedia.org/wiki/Timring_Kirke","o. 1200",1200
"Q12339408","Timotheus Kirke",55.6662,12.5043,"Københavns Kommune","Københavns Stift","Timotheus Sogn","https://da.wikipedia.org/wiki/Timotheus_Kirke","1911",1911
"Q12339428","Tingbjerg Kirke",55.7192,12.4792,"Københavns Kommune","Københavns Stift","Tingbjerg Sogn","https://da.wikipedia.org/wiki/Tingbjerg_Kirke","1983",1983
"Q12339448","Tistrup Kirke",55.72448,8.60905,"Varde Kommune","Ribe Stift","Tistrup Sogn","https://da.wikipedia.org/wiki/Tistrup_Kirke","1100",1100
"Q12339460","Tjele Kirke",56.51095,9.6098,"Viborg Kommune","Viborg Stift","Tjele Sogn","https://da.wikipedia.org/wiki/Tjele_Kirke","o. 1100",1100
"Q12339467","Tjæreborg Kirke",55.4623,8.58328,"Esbjerg Kommune","Ribe Stift","Tjæreborg Sogn","https://da.wikipedia.org/wiki/Tj%C3%A6reborg_Kirke","1200-tallet",1250
"Q12339477","Tjørring Kirke",56.1683,8.91361,"Herning Kommune","Viborg Stift","Tjørring Sogn","https://da.wikipedia.org/wiki/Tj%C3%B8rring_Kirke","1100-tallet",1150
"Q12339497","Todbjerg Kirke",56.26837,10.21087,"Aarhus Kommune","Århus Stift","Todbjerg Sogn","https://da.wikipedia.org/wiki/Todbjerg_Kirke","1100-tallet",1150
"Q12339526","Tolstrup Kirke",55.93001,9.86888,"Horsens Kommune","Århus Stift","Tolstrup Sogn","https://da.wikipedia.org/wiki/Tolstrup_Kirke_(Horsens_Kommune)","omkring 1200",1200
"Q12339530","Tolstrup Kirke",57.30268,9.90728,"Brønderslev Kommune","Aalborg Stift","Tolstrup Sogn","https://da.wikipedia.org/wiki/Tolstrup_Kirke_(Br%C3%B8nderslev_Kommune)","o. 1100",1100
"Q12339547","Tommerup Kirke",55.32135,10.21318,"Assens Kommune","Fyens Stift","Tommerup Sogn","https://da.wikipedia.org/wiki/Tommerup_Kirke","o. 1200",1200
"Q12339605","Toreby Kirke",54.75594,11.78138,"Guldborgsund Kommune","Lolland-Falsters Stift","Toreby Sogn","https://da.wikipedia.org/wiki/Toreby_Kirke","o. 1200",1200
"Q12339613","Tornbjerg Kirke",55.37016,10.4575,"Odense Kommune","Fyens Stift","Tornbjerg Sogn","https://da.wikipedia.org/wiki/Tornbjerg_Kirke","1994",1994
"Q12339636","Torslev Kirke",57.07213,9.48346,"Jammerbugt Kommune","Aalborg Stift","Torslev Sogn","https://da.wikipedia.org/wiki/Torslev_Kirke_(Jammerbugt_Kommune)","romansk tid (fra omkring 1000 til ca. 1150)",1175
"Q12339648","Torup Kirke",55.98334,11.94012,"Halsnæs Kommune","Helsingør Stift","Torup Sogn","https://da.wikipedia.org/wiki/Torup_Kirke_(Halsn%C3%A6s_Kommune)","1100-tallet",1150
"Q12339651","Tostrup Kirke",56.62072,9.46496,"Viborg Kommune","Viborg Stift","Vester Tostrup Sogn","https://da.wikipedia.org/wiki/Tostrup_Kirke",NA,NA
"Q12339869","Tune Kirke",55.59363,12.17004,"Greve Kommune","Roskilde Stift","Tune Sogn","https://da.wikipedia.org/wiki/Tune_Kirke","Omkring 1110",1110
"Q12339877","Tureby Kirke",55.3467,12.0903,"Faxe Kommune","Roskilde Stift","Tureby Sogn","https://da.wikipedia.org/wiki/Tureby_Kirke","ca. 1100",1100
