"Q-kode","churchLabel","latitude","longitude","kommune","stift","sogn","wikilink","opført","opført_tal"
"Q10164101","Råsted Kirke",56.514324,9.948428,"Randers Kommune","Århus Stift","Råsted Sogn","https://da.wikipedia.org/wiki/R%C3%A5sted_Kirke_(Randers_Kommune)","1100-tallet",1150
"Q1033809","Trinitatis Kirke",55.68155556,12.57605556,"Københavns Kommune","Københavns Stift","Trinitatis Sogn","https://da.wikipedia.org/wiki/Trinitatis_Kirke_(K%C3%B8benhavn)","1637-51",1637
"Q10401549","Adslev Kirke",56.09882,9.99373,"Skanderborg Kommune","Århus Stift","Adslev Sogn","https://da.wikipedia.org/wiki/Adslev_Kirke","1100-tallet",1150
"Q10403807","Aidt Kirke",56.31437,9.7864,"Favrskov Kommune","Århus Stift","Aidt Sogn","https://da.wikipedia.org/wiki/Aidt_Kirke","romansk tid",1175
"Q10406762","Alrø Kirke",55.85665,10.07506,"Odder Kommune","Århus Stift","Alrø Sogn","https://da.wikipedia.org/wiki/Alr%C3%B8_Kirke","1300-tallet",1350
"Q10406766","Als Kirke",56.7553,10.2943,"Mariagerfjord Kommune","Aalborg Stift","Als Sogn","https://da.wikipedia.org/wiki/Als_Kirke","Omkring 1300",1300
"Q10502576","Gammel Vor Frue Kirke",55.6385,12.0823,"Roskilde Kommune","Roskilde Stift","Roskilde Domsogn","https://da.wikipedia.org/wiki/Gammel_Vor_Frue_Kirke","Omkring 1080",1080
"Q10527455","Husum Kirke",55.7087,12.4772,"Københavns Kommune","Københavns Stift","Husum Sogn","https://da.wikipedia.org/wiki/Husum_Kirke","1977",1977
"Q10527512","Hvilsom Kirke",56.65711,9.61162,"Mariagerfjord Kommune","Århus Stift","Hvilsom Sogn","https://da.wikipedia.org/wiki/Hvilsom_Kirke","1200-tallet",1250
"Q10540002","Jerusalemskirken",55.68894,12.58358,"Københavns Kommune","","","https://da.wikipedia.org/wiki/Jerusalemskirken",NA,NA
"Q10548452","Kragelund Kirke",56.19436,9.41226,"Silkeborg Kommune","Århus Stift","Kragelund Sogn","https://da.wikipedia.org/wiki/Kragelund_Kirke","~1150",1150
"Q106357183","Kalundborg Metodistkirke",55.67907,11.08791,NA,NA,NA,"http://www.wikidata.org/entity/Q106357183",NA,NA
"Q10661317","Sankt Albani Kirke (vikingetid)",NA,NA,"Odense Kommune","","","https://da.wikipedia.org/wiki/Sankt_Albani_Kirke_(vikingetid)",NA,NA
"Q10661404","Sankt Laurentius' Tårn",NA,NA,"Roskilde Kommune","Roskilde Stift","Roskilde Domsogn","https://da.wikipedia.org/wiki/Sankt_Laurentius_Kirkeruin","o. 1100",1100
"Q10661409","Sankt Markus Kirke",57.0439,9.94333,"Aalborg Kommune","Aalborg Stift","Sankt Markus Sogn","https://da.wikipedia.org/wiki/Sankt_Markus_Kirke_(Aalborg)","1933",1933
"Q10661502","Sankt Vincent kirke",56.03744444,12.60786111,NA,NA,NA,"http://www.wikidata.org/entity/Q10661502",NA,NA
"Q107033682","Pinsekirken Rudkøbing",54.933608333,10.720733333,NA,NA,NA,"http://www.wikidata.org/entity/Q107033682",NA,NA
"Q10716860","Vor Frue Kirke",55.3977,10.3956,"Odense Kommune","Fyens Stift","Vor Frue Sogn","https://da.wikipedia.org/wiki/Vor_Frue_Kirke_(Odense)","1184",1184
"Q1082978","Christians Kirke",55.6724,12.5872,"Københavns Kommune","Københavns Stift","Christians Sogn","https://da.wikipedia.org/wiki/Christians_Kirke","1759",1759
"Q1083911","Tønder Kristkirke",54.93662,8.87095,"Tønder Kommune","Ribe Stift","Tønder Sogn","https://da.wikipedia.org/wiki/T%C3%B8nder_Kristkirke","1592- 432 år siden (1592)",NA
"Q11156822","Draaby Kirke",55.84086,11.98868,"Frederikssund Kommune","Helsingør Stift","Draaby Sogn","https://da.wikipedia.org/wiki/Draaby_Kirke_(Hornsherred)","o. 1150",1150
"Q11197076","Egtved Kirke",55.61992,9.30067,"Vejle Kommune","Haderslev Stift","Egtved Sogn","https://da.wikipedia.org/wiki/Egtved_Kirke","o. 1170",1170
"Q112032943","Gaunø slotskapel",55.18864,11.72489,NA,NA,NA,"http://www.wikidata.org/entity/Q112032943",NA,NA
"Q112032944","Høve valgmenighedskirke",55.29326,11.37299,NA,NA,NA,"http://www.wikidata.org/entity/Q112032944",NA,NA
"Q112032945","Thorsted Frimenighedskirke",56.97371,8.61605,NA,NA,NA,"http://www.wikidata.org/entity/Q112032945",NA,NA
"Q112032946","Klim Valgmenighedskirke",57.08966,9.16889,NA,NA,NA,"http://www.wikidata.org/entity/Q112032946",NA,NA
"Q112032947","Vorup Kapel",56.44077,10.04182,NA,NA,NA,"http://www.wikidata.org/entity/Q112032947",NA,NA
"Q112032948","Stevns Valgmenighedskirke",55.26181,12.31265,NA,NA,NA,"http://www.wikidata.org/entity/Q112032948",NA,NA
"Q112032949","Trængstrup Frimenighedskirke",56.84116,9.65691,NA,NA,NA,"http://www.wikidata.org/entity/Q112032949",NA,NA
"Q112032950","Vesløs Valgmenighedskirke",57.03584,8.97158,NA,NA,NA,"http://www.wikidata.org/entity/Q112032950",NA,NA
"Q112032951","Højnæskirken",55.67788,12.45983,NA,NA,NA,"http://www.wikidata.org/entity/Q112032951",NA,NA
"Q112032952","Kristuskirken",55.68642,12.55985,NA,NA,NA,"http://www.wikidata.org/entity/Q112032952",NA,NA
"Q112032953","Sankt Bendts Kapel",54.93679,10.70877,NA,NA,NA,"http://www.wikidata.org/entity/Q112032953",NA,NA
"Q113325564","Rønne Baptistkirke",55.10073,14.70007,NA,NA,NA,"http://www.wikidata.org/entity/Q113325564",NA,NA
"Q113327153","Zionskirken",55.09944,14.6995,NA,NA,NA,"http://www.wikidata.org/entity/Q113327153",NA,NA
"Q114981966","Jakobskirken",55.47919,8.46153,NA,NA,NA,"http://www.wikidata.org/entity/Q114981966",NA,NA
"Q11598610","Haslev Kirke",55.323056,11.963611,"Faxe Kommune","Roskilde Stift","Haslev Sogn","https://da.wikipedia.org/wiki/Haslev_Kirke","o. 1100- 14./15. årh.- 1914–1916",1100
"Q117832408","Jesu Kristi Kirke af Sidste Dages Hellige",55.492584653,8.453229125,NA,NA,NA,"http://www.wikidata.org/entity/Q117832408",NA,NA
"Q118316138","Geels Kirkesal",55.79648,12.49384,NA,NA,NA,"http://www.wikidata.org/entity/Q118316138",NA,NA
"Q11957022","Aggersborg Kirke",56.99729,9.2542,"Vesthimmerlands Kommune","Viborg Stift","Aggersborg Sogn","https://da.wikipedia.org/wiki/Aggersborg_Kirke","o. 1100",1100
"Q11960092","Balle Kirke",56.19604,9.52274,"Silkeborg Kommune","Viborg Stift","Balle Sogn","https://da.wikipedia.org/wiki/Balle_Kirke","romansk tid",1175
"Q11960094","Ballerup Kirke",55.7323,12.3614,"Ballerup Kommune","Helsingør Stift","Ballerup Sogn","https://da.wikipedia.org/wiki/Ballerup_Kirke","Mellem 1200-1250",NA
"Q11962164","Bregninge Kirke",55.6842,11.31,"Kalundborg Kommune","Roskilde Stift","Bregninge-Bjergsted-Alleshave Sogn","https://da.wikipedia.org/wiki/Bregninge_Kirke_(Kalundborg_Kommune)","o. 1100",1100
"Q11962330","Broager Kirke",54.89158,9.67422,"Sønderborg Kommune","Haderslev Stift","Broager Sogn","https://da.wikipedia.org/wiki/Broager_Kirke","Sidste halvdel af 1100-tallet",1150
"Q11965099","Den Katolsk-Apostoliske Kirke",55.6813,12.5609,"Københavns Kommune","","","https://da.wikipedia.org/wiki/Den_Katolsk-Apostolske_Kirke_(K%C3%B8benhavn)",NA,NA
"Q11966000","Dragør Kirke",55.59388889,12.66847222,"Dragør Kommune","Københavns Stift","Dragør Sogn","https://da.wikipedia.org/wiki/Drag%C3%B8r_Kirke","1885",1885
"Q11969113","Fjenneslev Kirke",55.43356,11.68756,"Sorø Kommune","Roskilde Stift","Fjenneslev Sogn","https://da.wikipedia.org/wiki/Fjenneslev_Kirke","1130",1130
"Q11970017","Fredensborg Slotskirke",55.9826,12.3968,"Fredensborg Kommune","Helsingør Stift","Asminderød-Grønholt Sogn","https://da.wikipedia.org/wiki/Fredensborg_Slotskirke","1725-26",1725
"Q11970038","Frederiks Kirke",56.3466,9.24456,"Viborg Kommune","Viborg Stift","Frederiks Sogn","https://da.wikipedia.org/wiki/Frederiks_Kirke_(Viborg_Kommune)",NA,NA
"Q11970040","Frederiksborg Slotskirke",55.9349,12.3006,"Hillerød Kommune","Helsingør Stift","Frederiksborg Slotssogn","https://da.wikipedia.org/wiki/Frederiksborg_Slotskirke","1606–17",NA
"Q11971317","Fårevejle Kirke",55.8025,11.4424,"Odsherred Kommune","Roskilde Stift","Fårevejle Sogn","https://da.wikipedia.org/wiki/F%C3%A5revejle_Kirke","o. 1100",1100
"Q11972041","Give Kirke",55.84478,9.24049,"Vejle Kommune","Ribe Stift","Give Sogn","https://da.wikipedia.org/wiki/Give_Kirke","o. 1200–1225",1200
"Q11973266","Gunderup Kirke",56.94147,10.01513,"Aalborg Kommune","Aalborg Stift","Gunderup Sogn","https://da.wikipedia.org/wiki/Gunderup_Kirke","1100-tallet",1150
"Q11973403","Gurre Kirke",56.02327,12.54004,"Helsingør Kommune","Helsingør Stift","Gurre Sogn","https://da.wikipedia.org/wiki/Gurre_Kirke","1918",1918
"Q11974133","Hans Tausens Kirke",55.66475833,12.57668333,"Københavns Kommune","Københavns Stift","Islands Brygges Sogn","https://da.wikipedia.org/wiki/Hans_Tausens_Kirke_(K%C3%B8benhavns_Kommune)","1924. Tårn 1936.",NA
"Q11976118","Hune Kirke",57.250947657,9.618006776,NA,NA,NA,"http://www.wikidata.org/entity/Q11976118",NA,NA
"Q11978551","Jetsmark Kirke",57.21081,9.66956,"Jammerbugt Kommune","Aalborg Stift","Jetsmark Sogn","https://da.wikipedia.org/wiki/Jetsmark_Kirke","romansk tid",1175
"Q11981629","Kong Haakons Kirke",55.66777,12.59366,"Københavns Kommune","","","https://da.wikipedia.org/wiki/Kong_Haakons_Kirke",NA,NA
"Q11982706","Kvislemark Kirke",55.250325858,11.54533334,"Næstved Kommune","Roskilde Stift","Kvislemark Sogn","https://da.wikipedia.org/wiki/Kvislemark_Kirke","ca. 1100",1100
"Q11982838","Sankt Nicolai Kirke",55.4583,12.1828,"Køge Kommune","Roskilde Stift","Køge Sogn","https://da.wikipedia.org/wiki/Sankt_Nicolai_Kirke_(K%C3%B8ge)","ca. 1250-1300",NA
"Q11988213","Mariakirken",55.67164,12.56022,"Københavns Kommune","Københavns Stift","Vesterbro Sogn","https://da.wikipedia.org/wiki/Mariakirken","1909",1909
"Q11991299","Nibe Kirke",56.9831,9.63778,"Aalborg Kommune","Aalborg Stift","Nibe Sogn","https://da.wikipedia.org/wiki/Nibe_Kirke","Første halvdel af 1400-tallet",1450
"Q11997038","Ramløse Kirke",56.01596,12.11163,"Gribskov Kommune","Helsingør Stift","Ramløse Sogn","https://da.wikipedia.org/wiki/Raml%C3%B8se_Kirke","12. århundrede",1250
"Q11997356","Regenskirken",55.68125,12.57546,"Københavns Kommune","","","https://da.wikipedia.org/wiki/Regenskirken",NA,NA
"Q11997820","Rigshospitalets Kirke",55.6955,12.5662,"Københavns Kommune","Københavns Stift","Simeon-Sankt Johannes Sogn","https://da.wikipedia.org/wiki/Rigshospitalets_Kirke","1970-78",1970
"Q11999415","Sanderum Kirke",55.36854,10.32908,"Odense Kommune","Fyens Stift","Sanderum Sogn","https://da.wikipedia.org/wiki/Sanderum_Kirke","1100-tallet",1150
"Q11999421","Sandholts Lyndelse Kirke",55.20609,10.30096,"Faaborg-Midtfyn Kommune","Fyens Stift","Sandholts Lyndelse Sogn","https://da.wikipedia.org/wiki/Sandholts_Lyndelse_Kirke","o. 1100",1100
"Q11999531","Sankt Anna Rotunda",NA,NA,"Københavns Kommune","","","https://da.wikipedia.org/wiki/Sankt_Anna_Rotunda",NA,NA
"Q11999538","Gammel Haderslev Kirke",55.25106,9.47734,"Haderslev Kommune","Haderslev Stift","Gammel Haderslev Sogn","https://da.wikipedia.org/wiki/Gammel_Haderslev_Kirke","1100-tallet",1150
"Q11999539","Sankt Peders Kirke",55.4019,11.3496,"Slagelse Kommune","Roskilde Stift","Sankt Peders Sogn","https://da.wikipedia.org/wiki/Sankt_Peders_Kirke_(Slagelse)","1100-tallet",1150
"Q11999824","Sejerø Kirke",55.88181,11.14308,"Kalundborg Kommune","Roskilde Stift","Sejerø Sogn","https://da.wikipedia.org/wiki/Sejer%C3%B8_Kirke","1250 - 1300",1250
"Q12000331","Sigerslevvester Kirke",55.87792,12.09192,"Frederikssund Kommune","Helsingør Stift","Sigerslevvester Sogn","https://da.wikipedia.org/wiki/Sigerslevvester_Kirke","o. 1100",1100
"Q12000928","Skelgårdskirken",55.60285,12.58755,"Tårnby Kommune","Københavns Stift","Skelgårds Sogn","https://da.wikipedia.org/wiki/Skelg%C3%A5rdskirken","1988-89",1988
"Q12001014","Skivholme Kirke",56.1942,9.96353,"Skanderborg Kommune","Århus Stift","Skivholme Sogn","https://da.wikipedia.org/wiki/Skivholme_Kirke","1100-tallet",1150
"Q12001328","Skødstrup Kirke",56.2629,10.30881,"Aarhus Kommune","Århus Stift","Skødstrup Sogn","https://da.wikipedia.org/wiki/Sk%C3%B8dstrup_Kirke",NA,NA
"Q12001896","Solvang Kirke",55.64877,12.59477,"Københavns Kommune","Københavns Stift","Solvang Sogn","https://da.wikipedia.org/wiki/Solvang_Kirke","1975–76",NA
"Q12003260","Stillinge Kirke",55.43681,11.24359,"Slagelse Kommune","Roskilde Stift","Kirke Stillinge Sogn","https://da.wikipedia.org/wiki/Stillinge_Kirke","1100/1200-tallet",1100
"Q12003400","Store Magleby Kirke",55.59582,12.63616,"Dragør Kommune","Københavns Stift","Store Magleby Sogn","https://da.wikipedia.org/wiki/Store_Magleby_Kirke","mellem 1193 og 1370",NA
"Q12006047","Thisted Kirke",56.95465,8.68918,"Thisted Kommune","Aalborg Stift","Thisted Sogn","https://da.wikipedia.org/wiki/Thisted_Kirke","1500",1500
"Q12006452","Tirsted Kirke",54.7352,11.34533,NA,NA,NA,"http://www.wikidata.org/entity/Q12006452",NA,NA
"Q12008083","Tågerup Kirke",54.67923,11.45167,NA,NA,NA,"http://www.wikidata.org/entity/Q12008083",NA,NA
"Q12009457","Vester Broby Kirke",55.3802,11.6209,"Sorø Kommune","Roskilde Stift","Vester Broby Sogn","https://da.wikipedia.org/wiki/Vester_Broby_Kirke",NA,NA
"Q12010031","Vodskov Kirke",57.1119,10.0264,"Aalborg Kommune","Aalborg Stift","Vodskov Sogn","https://da.wikipedia.org/wiki/Vodskov_Kirke","1909",1909
"Q12010100","Vor Frue Kirke",55.31146,10.793,"Nyborg Kommune","Fyens Stift","Nyborg Sogn","https://da.wikipedia.org/wiki/Nyborg_Vor_Frue_Kirke","1388-1428",1388
"Q12011471","Ågerup Kirke",55.6633,11.7633,"Holbæk Kommune","Roskilde Stift","Vipperød Sogn","https://da.wikipedia.org/wiki/%C3%85gerup_Kirke_(Holb%C3%A6k_Kommune)","1100-tallet",1150
"Q12011908","Østbirk Kirke",55.96674,9.75178,"Horsens Kommune","Århus Stift","Østbirk Sogn","https://da.wikipedia.org/wiki/%C3%98stbirk_Kirke","omkring 1200",1200
"Q12053425","Bråby Kirke",55.2975,11.9447,"Faxe Kommune","Roskilde Stift","Bråby Sogn","https://da.wikipedia.org/wiki/Br%C3%A5by_Kirke","1100-tallet",1150
"Q12057541","Faxe Kirke",55.255556,12.12,"Faxe Kommune","Roskilde Stift","Faxe Sogn","https://da.wikipedia.org/wiki/Faxe_Kirke","1400-tallet",1450
"Q12064028","Nexø Kirke",55.06068,15.13231,"Bornholms Regionskommune","Københavns Stift","Nexø Sogn","https://da.wikipedia.org/wiki/Nex%C3%B8_Kirke","Ukendt- muligvis omkring 1340",NA
"Q12071255","Torkilstrup Kirke",54.87108,11.93092,"Guldborgsund Kommune","Lolland-Falsters Stift","Torkilstrup Sogn","https://da.wikipedia.org/wiki/Torkilstrup_Kirke","o. 1100",1100
"Q12072104","Vester Egede Kirke",55.265833,11.962778,"Faxe Kommune","Roskilde Stift","Vester Egede Sogn","https://da.wikipedia.org/wiki/Vester_Egede_Kirke","o. 1100",1100
"Q120965780","Q120965780",55.705,13.195833333,NA,NA,NA,"http://www.wikidata.org/entity/Q120965780",NA,NA
"Q121096669","Q121096669",55.705,13.199722222,NA,NA,NA,"http://www.wikidata.org/entity/Q121096669",NA,NA
"Q121157380","Q121157380",55.703805555,13.191611111,NA,NA,NA,"http://www.wikidata.org/entity/Q121157380",NA,NA
"Q121157590","Q121157590",55.709361111,13.193361111,NA,NA,NA,"http://www.wikidata.org/entity/Q121157590",NA,NA
"Q121159757","Q121159757",55.704722222,13.189305555,NA,NA,NA,"http://www.wikidata.org/entity/Q121159757",NA,NA
"Q121160711","Q121160711",55.701136111,13.194833333,NA,NA,NA,"http://www.wikidata.org/entity/Q121160711",NA,NA
"Q121224193","Q121224193",55.701888888,13.190555555,NA,NA,NA,"http://www.wikidata.org/entity/Q121224193",NA,NA
"Q121224515","Q121224515",55.702083333,13.192222222,NA,NA,NA,"http://www.wikidata.org/entity/Q121224515",NA,NA
"Q121224697","Q121224697",55.702222222,13.190833333,NA,NA,NA,"http://www.wikidata.org/entity/Q121224697",NA,NA
"Q12299980","Fårup Kirke",56.54251,9.85827,"Randers Kommune","Århus Stift","Fårup Sogn","https://da.wikipedia.org/wiki/F%C3%A5rup_Kirke_(Randers_Kommune)","1100-tallet",1150
"Q12300246","Aal Kirke",55.63143,8.28134,"Varde Kommune","Ribe Stift","Aal Sogn","https://da.wikipedia.org/wiki/Aal_Kirke","1150-1300",1150
"Q12300303","Ålbæk Kirke",57.5938,10.4024,"Frederikshavn Kommune","Aalborg Stift","Råbjerg Sogn","https://da.wikipedia.org/wiki/%C3%85lb%C3%A6k_Kirke","1897",1897
"Q12300308","Aalholm Kirke",55.6722,12.4903,"Københavns Kommune","Københavns Stift","Aalholm Sogn","https://da.wikipedia.org/wiki/Aalholm_Kirke","1938-1939- samt 1969-1970",1938
"Q12300330","Betlehemskirken",56.16094,10.20216,"Aarhus Kommune","","","https://da.wikipedia.org/wiki/Aarhus_Metodistkirke",NA,NA
"Q12300356","Aars Kirke",56.805,9.51389,"Vesthimmerlands Kommune","Viborg Stift","Aars Sogn","https://da.wikipedia.org/wiki/Aars_Kirke","1100-tallet",1150
"Q12300390","Abild Kirke",54.98093,8.86087,"Tønder Kommune","Ribe Stift","Abild Sogn","https://da.wikipedia.org/wiki/Abild_Kirke","1200",1200
"Q12300409","Absalons Kirke",55.66527,12.5505,"Københavns Kommune","Københavns Stift","Vesterbro Sogn","https://da.wikipedia.org/wiki/Absalons_Kirke","1926-34",1926
"Q12300611","Adsbøl Kirke",54.93683,9.62053,"Sønderborg Kommune","Haderslev Stift","Adsbøl Sogn","https://da.wikipedia.org/wiki/Adsb%C3%B8l_Kirke","Omkring 1200",1200
"Q12300618","Adventkirken Ebenezer",55.6795,12.5561,"Frederiksberg Kommune","","","https://da.wikipedia.org/wiki/Adventkirken_Ebenezer",NA,NA
"Q12300620","Adventskirken",55.6939,12.4952,"Københavns Kommune","Københavns Stift","Advents Sogn","https://da.wikipedia.org/wiki/Adventskirken","1942-44",1942
"Q12300695","Agedrup Kirke",55.42779,10.49174,"Odense Kommune","Fyens Stift","Agedrup Sogn","https://da.wikipedia.org/wiki/Agedrup_Kirke","1100-tallet",1150
"Q12300710","Agerskov Kirke",55.13034,9.13762,"Tønder Kommune","Ribe Stift","Agerskov Sogn","https://da.wikipedia.org/wiki/Agerskov_Kirke","o. 1200",1200
"Q12300711","Agersted Kirke",57.20608,10.38135,"Brønderslev Kommune","Aalborg Stift","Agersted Sogn","https://da.wikipedia.org/wiki/Agersted_Kirke","1903",1903
"Q12300914","Albæk Kirke",57.23366,10.42292,"Frederikshavn Kommune","Aalborg Stift","Albæk-Lyngså Sogn","https://da.wikipedia.org/wiki/Alb%C3%A6k_Kirke_(Frederikshavn_Kommune)","o. 1100",1100
"Q12300925","Alderslyst Kirke",56.18175,9.55357,"Silkeborg Kommune","Århus Stift","Alderslyst Sogn","https://da.wikipedia.org/wiki/Alderslyst_Kirke","1929",1929
"Q12301081","Allehelgens Kirke",55.66236,12.61539,"Københavns Kommune","Københavns Stift","Allehelgens Sogn","https://da.wikipedia.org/wiki/Allehelgens_Kirke","1932",1932
"Q12301089","Allerup Kirke",55.33769,10.47178,"Odense Kommune","Fyens Stift","Allerup Sogn","https://da.wikipedia.org/wiki/Allerup_Kirke","1300-tallet første årtier",1350
"Q12301095","Allesø Kirke",55.45374,10.3131,"Odense Kommune","Fyens Stift","Allesø Sogn","https://da.wikipedia.org/wiki/Alles%C3%B8_Kirke","1200-tallet(?)",1250
"Q12301096","Allested Kirke",55.26522,10.33684,"Faaborg-Midtfyn Kommune","Fyens Stift","Allested Sogn","https://da.wikipedia.org/wiki/Allested_Kirke","1227",1227
"Q12301134","Almind Kirke",55.56577,9.48868,"Kolding Kommune","Haderslev Stift","Almind Sogn","https://da.wikipedia.org/wiki/Almind_Kirke_(Kolding_Kommune)","1887",1887
"Q12301135","Almind Kirke",56.37523,9.39332,"Viborg Kommune","Viborg Stift","Almind Sogn","https://da.wikipedia.org/wiki/Almind_Kirke_(Viborg_Kommune)","romansk tid",1175
"Q12301169","Alslev Kirke",55.2901,12.203,"Faxe Kommune","Roskilde Stift","Alslev Sogn","https://da.wikipedia.org/wiki/Alslev_Kirke_(Faxe_Kommune)","o. 1200",1200
"Q12301177","Alstrup Kirke",57.27721,9.75455,"Jammerbugt Kommune","Aalborg Stift","Alstrup Sogn","https://da.wikipedia.org/wiki/Alstrup_Kirke_(Jammerbugt_Kommune)","o. 1200",1200
"Q12301181","Alsønderup Kirke",55.97025,12.22685,"Hillerød Kommune","Helsingør Stift","Alsønderup Sogn","https://da.wikipedia.org/wiki/Als%C3%B8nderup_Kirke","Begyndelsen af 1300-tallet",1300
"Q12301629","Andst Kirke",55.48106,9.23396,"Vejen Kommune","Ribe Stift","Andst Sogn","https://da.wikipedia.org/wiki/Andst_Kirke","1100 tallet",1100
"Q12301909","Annisse Kirke",55.98223,12.17074,"Gribskov Kommune","Helsingør Stift","Annisse Sogn","https://da.wikipedia.org/wiki/Annisse_Kirke","Nævnt første gang omkring 1175",1175
"Q12301919","Ansager Kirke",55.70464,8.75335,"Varde Kommune","Ribe Stift","Ansager Sogn","https://da.wikipedia.org/wiki/Ansager_Kirke","1200-tallet",1250
"Q12301925","Ansgar Kirke",55.7003,12.5251,"Københavns Kommune","Københavns Stift","Ansgarkirkens Sogn","https://da.wikipedia.org/wiki/Ansgar_Kirke_(K%C3%B8benhavns_Kommune)","1932-33",1932
"Q12301927","Ansgarkirken",55.64993,12.20779,"Høje-Taastrup Kommune","Helsingør Stift","Hedehusene Sogn","https://da.wikipedia.org/wiki/Ansgarkirken","1921",1921
"Q12301928","Ansgars Kirke",55.3914,10.3783,"Odense Kommune","Fyens Stift","Ansgars Sogn","https://da.wikipedia.org/wiki/Ansgars_Kirke_(Odense_Kommune)","1902",1902
"Q12301929","Ansgars Kirke",57.0433,9.91056,"Aalborg Kommune","Aalborg Stift","Ansgars Sogn","https://da.wikipedia.org/wiki/Ansgars_Kirke_(Aalborg_Kommune)","1929",1929
"Q12301987","Antvorskov Kirke",55.3877,11.3466,"Slagelse Kommune","Roskilde Stift","Antvorskov Sogn","https://da.wikipedia.org/wiki/Antvorskov_Kirke","2005",2005
"Q12302003","Apostelkirken",55.67167,12.55112,"Københavns Kommune","Københavns Stift","Vesterbro Sogn","https://da.wikipedia.org/wiki/Apostelkirken","1901",1901
"Q12302127","Arnborg Kirke",56.00327,8.96835,"Herning Kommune","Viborg Stift","Arnborg Sogn","https://da.wikipedia.org/wiki/Arnborg_Kirke","Omkring 1200",1200
"Q12302280","Asdal Kirke",57.55337,10.03007,"Hjørring Kommune","Aalborg Stift","Asdal Sogn","https://da.wikipedia.org/wiki/Asdal_Kirke","o. 1450",1450
"Q12302317","Askov Kirke",55.47184,9.10197,"Vejen Kommune","Ribe Stift","Askov Sogn","https://da.wikipedia.org/wiki/Askov_Kirke","1900",1900
"Q12302326","Asmild Kirke",56.4468,9.42486,"Viborg Kommune","Viborg Stift","Asmild Sogn","https://da.wikipedia.org/wiki/Asmild_Kirke","Ca. 1090",1090
"Q12302330","Asminderød Kirke",55.96846,12.40832,"Fredensborg Kommune","Helsingør Stift","Asminderød-Grønholt Sogn","https://da.wikipedia.org/wiki/Asminder%C3%B8d_Kirke","1100",1100
"Q12302337","Asnæs Kirke",55.8099,11.4985,"Odsherred Kommune","Roskilde Stift","Asnæs Sogn","https://da.wikipedia.org/wiki/Asn%C3%A6s_Kirke","ca. år 1150",NA
"Q12302342","Asp Kirke",56.43446,8.5063,"Struer Kommune","Viborg Stift","Asp Sogn","https://da.wikipedia.org/wiki/Asp_Kirke","o. 1200",1200
"Q12302345","Asperup Kirke",55.48392,9.90361,"Middelfart Kommune","Fyens Stift","Asperup Sogn","https://da.wikipedia.org/wiki/Asperup_Kirke","o. 1180",1180
"Q12302355","Assens Kirke",56.6798,10.0626,"Mariagerfjord Kommune","Aalborg Stift","Falslev-Vindblæs Sogn","https://da.wikipedia.org/wiki/Assens_Kirke","Omkring 1923",1923
"Q12302393","Astrup Kirke",56.03366,10.10396,"Aarhus Kommune","Århus Stift","Astrup Sogn","https://da.wikipedia.org/wiki/Astrup_Kirke_(Aarhus_Kommune)","1100-tallet",1150
"Q12302398","Aså Kirke",57.14838,10.39841,"Brønderslev Kommune","Aalborg Stift","Aså Sogn","https://da.wikipedia.org/wiki/Asaa_Kirke","1887",1887
"Q12302493","Aulum Kirke",56.2675,8.79917,"Herning Kommune","Viborg Stift","Aulum Sogn","https://da.wikipedia.org/wiki/Aulum_Kirke","1200",1200
"Q12302539","Avedøre Kirke",55.6273,12.4439,"Hvidovre Kommune","Helsingør Stift","Avedøre Sogn","https://da.wikipedia.org/wiki/Aved%C3%B8re_Kirke","1976-77",1976
"Q12302541","Avernakø Kirke",55.0274227,10.2630157,"Faaborg-Midtfyn Kommune","Fyens Stift","Avernakø Sogn","https://da.wikipedia.org/wiki/Avernak%C3%B8_Kirke","Kongebrev 1536.Indviet 1542",1542
"Q12302543","Aversi Kirke",55.3451,11.8516,"Næstved Kommune","Roskilde Stift","Aversi Sogn","https://da.wikipedia.org/wiki/Aversi_Kirke","o. 1370",1370
"Q12302727","Badskær Kirke",57.29587,10.39864,"Frederikshavn Kommune","Aalborg Stift","Hørby Sogn","https://da.wikipedia.org/wiki/Badsk%C3%A6r_Kirke","1908",1908
"Q12302811","Balling Kirke",56.62561,8.88636,"Skive Kommune","Viborg Stift","Balling Sogn","https://da.wikipedia.org/wiki/Balling_Kirke","romansk tid",1175
"Q12302820","Ballum Kirke",55.09033,8.65824,"Tønder Kommune","Ribe Stift","Ballum Sogn","https://da.wikipedia.org/wiki/Ballum_Kirke","o. 1150",1150
"Q12302857","Bangsbostrand Kirke",57.42405,10.51876,"Frederikshavn Kommune","Aalborg Stift","Bangsbostrand Sogn","https://da.wikipedia.org/wiki/Bangsbostrand_Kirke","1902",1902
"Q12302872","Baptistkirken i Odense",55.3935,10.3876,"Odense Kommune","","","https://da.wikipedia.org/wiki/Baptistkirken_i_Odense",NA,NA
"Q12302894","Barløse Kirke",55.33044,9.97112,"Assens Kommune","Fyens Stift","Barløse Sogn","https://da.wikipedia.org/wiki/Barl%C3%B8se_Kirke","omkring år 1100[1]",1100
"Q12302934","Barrit Kirke",55.72036,9.87835,"Hedensted Kommune","Haderslev Stift","Barrit Sogn","https://da.wikipedia.org/wiki/Barrit_Kirke","Omkring 1150-60",NA
